,Player,Team,GP,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,Shai Gilgeous-Alexander,OKC,20,35.8,31.1,10.8,21.3,50.6,1.1,3.1,33.9,8.5,9.3,91.9,1.1,3.9,4.9,6.1,1.7,1.2,3.2,30.5
1,Kevin Durant,BKN,23,36.7,30.4,10.7,19.3,55.3,1.7,4.7,35.5,7.3,8.0,92.3,0.4,6.1,6.5,5.3,0.7,1.7,3.3,32.1
2,Devin Booker,PHX,21,36.5,29.0,10.4,21.2,48.9,2.4,6.4,37.8,5.8,6.6,87.8,1.0,4.3,5.3,5.8,1.1,0.5,2.6,27.4
3,Donovan Mitchell,CLE,20,36.4,28.4,9.8,20.0,49.0,3.8,9.0,42.2,5.0,5.7,88.5,0.8,3.2,4.0,5.1,1.5,0.4,3.0,25.4
4,Ja Morant,MEM,18,33.0,28.2,9.8,20.9,46.8,1.8,4.7,37.6,6.9,9.3,74.3,1.3,4.9,6.3,7.6,1.1,0.3,3.9,26.0
5,Trae Young,ATL,21,35.5,27.8,9.0,21.8,41.1,2.2,7.4,30.3,7.7,8.5,89.9,0.8,2.1,2.9,9.6,0.8,0.1,3.4,24.1
6,DeMar DeRozan,CHI,21,34.7,26.3,9.4,18.1,52.0,0.5,1.5,31.3,7.0,7.9,88.0,0.4,3.9,4.3,4.6,1.0,0.4,2.0,24.9
7,Anthony Davis,LAL,18,34.2,26.3,9.8,17.3,56.9,0.3,1.2,23.8,6.3,7.7,82.0,3.5,9.2,12.7,2.6,1.5,2.3,2.1,34.5
8,Jaylen Brown,BOS,20,35.1,26.1,9.9,19.4,50.9,2.2,6.6,33.6,4.2,5.1,83.2,1.0,5.6,6.6,3.5,1.0,0.3,3.3,23.8
9,LeBron James,LAL,14,35.3,25.8,9.9,21.2,46.8,2.4,7.5,32.4,3.5,4.9,72.1,1.5,7.1,8.6,6.3,1.1,0.7,3.6,26.4
10,De'Aaron Fox,SAC,19,31.8,24.0,8.9,17.0,52.6,1.9,5.0,38.9,4.2,5.1,82.3,0.5,4.4,4.9,6.0,1.1,0.5,2.6,25.0
11,Anfernee Simons,POR,20,37.0,23.8,8.2,19.2,42.8,4.1,10.7,38.0,3.4,3.8,88.2,0.4,2.8,3.1,4.5,1.0,0.2,2.0,19.2
12,Bradley Beal,WAS,16,36.8,23.6,8.9,17.1,52.2,1.8,5.0,36.3,3.9,4.4,87.3,0.9,2.9,3.8,5.6,1.3,0.7,3.0,23.1
13,Zion Williamson,NOP,16,31.7,23.1,9.1,15.3,59.2,0.2,0.6,33.3,4.8,6.8,71.3,2.1,4.6,6.6,4.1,1.3,0.6,2.6,24.8
14,Anthony Edwards,MIN,22,36.5,22.9,8.3,17.9,46.2,2.6,7.5,34.5,3.7,4.9,76.6,0.6,5.1,5.7,3.8,1.5,0.4,3.1,20.4
15,Darius Garland,CLE,16,35.6,22.8,7.8,17.3,44.8,2.9,6.9,41.8,4.4,5.2,85.5,0.3,1.9,2.3,8.1,1.3,0.3,3.4,21.0
16,Nikola Jokic,DEN,18,31.7,22.7,8.4,13.3,62.9,0.7,2.1,32.4,5.2,6.2,84.7,1.9,7.9,9.8,8.9,1.3,0.6,3.3,34.1
17,Jerami Grant,POR,21,36.4,22.2,7.3,15.4,47.4,2.9,6.0,47.6,4.8,6.3,76.5,0.8,3.5,4.3,2.7,0.9,1.0,2.0,19.5
18,Lauri Markkanen,UTA,24,33.9,22.2,8.1,15.3,53.1,2.5,6.3,39.5,3.5,4.2,82.2,2.3,6.2,8.5,2.2,0.5,0.7,2.1,24.0
19,Kristaps Porzingis,WAS,21,32.2,21.6,7.3,15.3,47.5,2.2,5.9,38.2,4.8,6.0,79.5,2.2,6.5,8.7,2.5,0.8,1.6,1.8,24.0
20,Jalen Green,HOU,21,34.2,21.3,7.3,17.2,42.4,2.6,7.6,34.4,4.1,5.2,79.1,0.6,3.6,4.1,4.0,0.7,0.2,3.1,16.2
21,Jalen Brunson,NYK,22,32.5,21.3,7.7,15.8,48.6,1.4,4.2,32.3,4.6,5.2,87.8,0.5,3.0,3.5,6.5,1.1,0.2,1.6,22.2
22,Julius Randle,NYK,22,33.2,21.1,7.3,15.7,46.2,2.1,6.5,33.1,4.5,5.8,76.6,2.2,6.4,8.6,3.5,0.8,0.2,2.8,21.5
23,Zach LaVine,CHI,17,34.1,20.9,7.2,17.8,40.7,2.8,8.1,34.8,3.6,4.4,82.7,0.7,3.5,4.2,4.4,1.1,0.1,2.1,17.3
24,Dejounte Murray,ATL,22,36.9,20.9,8.3,18.7,44.3,2.1,6.0,34.6,2.2,2.5,87.5,0.7,5.1,5.8,6.6,1.9,0.4,2.7,22.0
25,Brandon Ingram,NOP,15,32.1,20.8,7.3,15.4,47.2,1.9,4.0,46.7,4.4,5.1,86.8,0.5,4.6,5.1,4.7,0.9,0.7,2.8,20.5
26,Karl-Anthony Towns,MIN,21,33.8,20.8,7.3,14.4,50.5,1.8,5.6,32.5,4.4,5.0,88.5,1.7,6.5,8.2,5.3,0.8,0.7,3.1,24.9
27,Bojan Bogdanovic,DET,23,32.0,20.7,7.0,13.8,50.8,2.4,5.7,41.7,4.3,5.0,86.8,0.5,3.3,3.8,2.5,0.5,0.0,2.3,17.8
28,Bam Adebayo,MIA,20,34.8,20.7,8.1,15.2,53.0,0.1,0.5,11.1,4.5,5.2,86.5,2.5,6.8,9.3,3.3,1.1,0.8,3.2,24.0
