,Team,GP,W,L,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
0,Boston Celtics,22,18,4,.818,48.5,121.9,43.1,86.5,49.8,17.0,41.6,40.8,18.7,22.0,85.3,8.0,33.6,41.6,27.5,13.5,5.9,5.1,3.6,20.6,20.4,8.6
1,Milwaukee Bucks,20,15,5,.750,48.5,112.3,41.0,89.8,45.6,13.0,37.3,34.9,17.4,24.2,71.9,11.9,36.9,48.8,24.5,14.8,7.0,6.4,5.0,19.3,20.4,4.9
2,Phoenix Suns,21,15,6,.714,48.2,115.8,43.3,90.8,47.7,12.3,32.9,37.5,16.8,20.6,81.5,11.7,31.8,43.5,27.0,13.4,7.4,5.9,4.3,21.8,20.0,7.4
3,Denver Nuggets,21,14,7,.667,48.2,115.4,43.2,86.7,49.8,12.5,30.9,40.4,16.6,22.0,75.5,10.5,33.1,43.6,28.0,15.0,7.1,4.4,4.5,19.7,20.2,2.3
4,Cleveland Cavaliers,22,14,8,.636,49.1,112.9,40.7,84.9,48.0,12.1,31.5,38.5,19.3,24.0,80.6,10.0,33.7,43.7,23.8,15.0,6.2,4.1,4.5,19.8,22.8,6.9
5,New Orleans Pelicans,21,13,8,.619,48.7,117.1,43.5,89.5,48.6,11.5,30.4,37.9,18.5,23.6,78.6,11.6,33.6,45.2,27.1,15.0,8.8,4.4,5.2,19.6,19.8,6.0
6,Indiana Pacers,21,12,9,.571,48.0,115.6,40.9,90.8,45.0,14.6,40.8,35.7,19.3,24.3,79.5,10.9,32.8,43.7,28.0,15.5,8.0,6.5,5.8,21.6,20.8,0.2
7,Memphis Grizzlies,21,12,9,.571,48.5,115.0,42.7,92.6,46.1,12.3,33.9,36.2,17.3,25.0,69.3,14.0,34.7,48.7,24.2,14.9,6.8,5.1,5.6,20.1,22.5,1.0
8,LA Clippers,23,13,10,.565,48.0,107.2,39.2,82.9,47.3,11.3,31.3,35.9,17.5,23.6,74.2,8.6,34.5,43.0,22.7,15.8,6.7,4.8,4.4,20.2,20.2,-0.7
9,Sacramento Kings,20,11,9,.550,48.3,119.9,43.2,87.5,49.3,13.7,37.4,36.6,19.9,24.9,79.9,8.2,33.7,41.9,27.9,15.3,7.1,3.3,4.6,21.1,21.6,2.7
10,Atlanta Hawks,22,12,10,.545,48.5,113.9,43.1,92.6,46.5,9.6,29.6,32.5,18.1,21.9,82.7,11.0,33.6,44.6,23.8,13.2,7.4,4.9,5.3,20.2,21.5,0.4
11,Philadelphia 76ers,22,12,10,.545,48.0,108.3,39.0,82.5,47.2,11.8,32.0,36.9,18.6,23.0,80.8,8.1,31.7,39.9,23.3,14.3,8.5,4.6,5.0,19.4,19.1,2.2
12,Utah Jazz,24,13,11,.542,48.4,117.0,42.8,90.0,47.5,14.7,39.5,37.2,16.8,21.8,77.2,12.1,31.9,44.0,27.3,15.7,7.3,5.0,5.2,21.3,20.5,1.7
13,Toronto Raptors,21,11,10,.524,48.2,110.7,40.5,90.9,44.6,10.9,32.9,33.1,18.7,24.0,78.1,13.0,30.7,43.7,23.2,13.0,10.2,5.7,5.4,20.5,20.8,1.3
14,Brooklyn Nets,23,12,11,.522,48.2,111.6,41.2,83.1,49.6,12.0,32.0,37.4,17.2,21.3,80.6,7.3,32.7,40.0,26.3,14.5,7.0,7.3,4.0,22.1,18.8,1.0
15,Golden State Warriors,22,11,11,.500,48.2,117.5,43.1,89.3,48.2,16.1,42.9,37.6,15.2,18.9,80.5,9.1,33.5,42.6,29.7,17.1,7.3,4.0,3.6,23.0,18.5,0.3
16,Minnesota Timberwolves,22,11,11,.500,48.2,114.4,42.0,87.5,48.1,11.1,34.2,32.6,19.1,24.2,79.1,9.7,33.4,43.1,26.5,16.3,8.0,5.7,3.9,22.2,21.1,-0.9
17,Portland Trail Blazers,22,11,11,.500,48.5,109.8,39.0,83.6,46.6,12.0,31.5,38.0,19.8,25.7,77.0,10.6,32.3,42.9,23.6,15.3,6.6,4.1,4.8,19.7,22.4,-1.7
18,Washington Wizards,22,11,11,.500,48.5,110.4,41.3,87.4,47.2,10.9,31.8,34.1,17.0,22.0,77.2,9.4,34.8,44.2,24.9,13.4,6.5,6.0,4.4,19.9,19.8,-1.1
19,Dallas Mavericks,21,10,11,.476,48.7,110.1,39.0,82.9,47.1,13.8,39.7,34.8,18.3,25.7,71.4,7.5,30.2,37.8,21.4,12.9,8.0,3.5,4.6,20.9,23.2,1.4
20,Miami Heat,22,10,12,.455,48.5,109.0,38.8,86.0,45.1,12.0,35.4,33.8,19.5,22.9,85.1,9.4,31.5,40.8,24.1,14.1,7.5,3.5,4.3,19.1,21.2,-1.0
21,New York Knicks,22,10,12,.455,48.7,115.2,42.3,92.7,45.6,11.0,34.4,31.8,19.7,24.8,79.6,12.9,33.6,46.5,24.0,13.5,7.0,4.7,5.0,22.3,21.5,-1.0
22,Chicago Bulls,21,9,12,.429,48.2,112.0,41.1,87.4,47.1,10.2,28.9,35.4,19.5,23.5,83.2,9.9,33.1,43.0,24.5,14.6,7.5,5.4,6.1,20.0,19.8,-0.7
23,Oklahoma City Thunder,22,9,13,.409,49.1,116.0,43.8,94.8,46.2,11.5,34.4,33.6,16.9,21.6,78.3,12.1,32.6,44.7,24.1,13.8,8.0,6.0,5.6,22.0,19.6,-1.4
24,Los Angeles Lakers,20,8,12,.400,48.3,113.1,41.4,88.7,46.6,9.9,30.4,32.4,20.6,25.6,80.3,9.7,36.2,45.8,24.3,15.0,6.9,5.3,5.5,19.1,21.6,-1.2
25,Charlotte Hornets,21,6,15,.286,49.2,109.2,41.3,92.6,44.6,10.4,32.5,32.0,16.2,22.3,72.7,12.6,32.9,45.5,25.3,15.4,7.6,5.0,7.1,21.0,20.9,-6.2
26,San Antonio Spurs,22,6,16,.273,48.2,110.6,42.1,91.4,46.1,11.9,34.3,34.7,14.5,20.0,72.1,12.1,30.3,42.4,28.3,16.4,7.4,4.3,4.5,19.6,18.7,-10.3
27,Detroit Pistons,24,6,18,.250,48.2,110.0,39.2,87.6,44.7,10.9,32.4,33.7,20.7,26.8,77.2,11.4,31.2,42.6,21.7,14.4,6.8,3.8,6.3,22.9,21.9,-8.0
28,Houston Rockets,21,5,16,.238,48.0,109.8,38.8,87.7,44.2,12.7,36.1,35.1,19.6,25.3,77.6,13.3,32.8,46.0,21.8,18.0,7.7,4.9,6.2,21.0,22.4,-6.8
29,Orlando Magic,22,5,17,.227,48.2,108.3,39.2,83.6,46.9,10.6,31.5,33.8,19.2,24.5,78.6,10.0,32.9,42.8,21.2,16.5,6.2,5.4,4.7,21.2,20.3,-6.1
